payloadsize	encrypt	decrypt
6530	0.0007858680	0.0006738980
6540	0.0007855680	0.0006738710
6550	0.0007852470	0.0006741670
6560	0.0007854360	0.0006741170
6570	0.0007861650	0.0006742490
6580	0.0007853860	0.0006740580
6590	0.0007854400	0.0006741830
6600	0.0007853920	0.0006745830
6610	0.0007850410	0.0006747560
6620	0.0007865510	0.0006750640
6630	0.0007858700	0.0006751840
6640	0.0007865760	0.0006796840
6650	0.0007859950	0.0006753230
6660	0.0007864350	0.0006755750
6670	0.0007862160	0.0006757390
6680	0.0007857000	0.0006751490
6690	0.0008324410	0.0006827450
6700	0.0007851980	0.0006752730
6710	0.0007874590	0.0006754040
6720	0.0007858490	0.0006759810
6730	0.0007864700	0.0006758410
6740	0.0007866020	0.0006763160
6750	0.0007861520	0.0006757290
6760	0.0007860550	0.0006763350
6770	0.0007872870	0.0006768370
6780	0.0007872040	0.0006806700
6790	0.0007870070	0.0006766210
6800	0.0007865430	0.0006765240
6810	0.0007877380	0.0006769980
6820	0.0007866950	0.0006768410
6830	0.0007868690	0.0006765150
6840	0.0007871910	0.0006770790
6850	0.0007880710	0.0006774250
6860	0.0007871910	0.0006773250
6870	0.0007874300	0.0006772750
6880	0.0007868990	0.0006775020
6890	0.0007876280	0.0006778220
6900	0.0007883230	0.0006781400
6910	0.0007878290	0.0006780480
6920	0.0007876650	0.0006820550
6930	0.0007870050	0.0006771910
6940	0.0007872400	0.0006775920
6950	0.0007869760	0.0006772780
6960	0.0007873150	0.0006780320
6970	0.0007878760	0.0006777090
6980	0.0007875270	0.0006778950
6990	0.0007871810	0.0006779090
7000	0.0007873170	0.0006778800
7010	0.0007890720	0.0006785930
7020	0.0007880760	0.0006776420
7030	0.0007889450	0.0006784410
7040	0.0007897690	0.0006805250
7050	0.0007893230	0.0006830730
7060	0.0007886040	0.0006794080
7070	0.0007887330	0.0006790970
7080	0.0007889960	0.0006799540
7090	0.0007876930	0.0006788030
7100	0.0007887090	0.0006797950
7110	0.0007884610	0.0006795950
7120	0.0007885550	0.0006794080
7130	0.0007886790	0.0006801120
7140	0.0007884620	0.0006797390
7150	0.0007885360	0.0006795700
7160	0.0007888200	0.0006801470
7170	0.0007885400	0.0006803190
7180	0.0007894370	0.0006805890
7190	0.0007925290	0.0006803350
7200	0.0007889460	0.0006807210
7210	0.0007895270	0.0006811470
7220	0.0007895510	0.0006811000
7230	0.0007892560	0.0006810570
7240	0.0007903650	0.0006813180
7250	0.0007901730	0.0006814410
7260	0.0007904480	0.0006813820
7270	0.0007891830	0.0006809970
7280	0.0007897290	0.0006814000
7290	0.0007909510	0.0006822760
7300	0.0007899690	0.0006819500
7310	0.0007897940	0.0006816080
7320	0.0007902690	0.0006819290
7330	0.0007943880	0.0006829330
7340	0.0007903170	0.0006818450
7350	0.0007899640	0.0006823400
7360	0.0007900220	0.0006823310
7370	0.0007907580	0.0006827030
7380	0.0007912100	0.0006827440
7390	0.0007909090	0.0006832350
7400	0.0007913270	0.0006833390
7410	0.0007921010	0.0006840770
7420	0.0007907220	0.0006830460
7430	0.0007909160	0.0006835320
7440	0.0007912680	0.0006839600
7450	0.0007916960	0.0006838630
7460	0.0007919850	0.0006881340
7470	0.0007914030	0.0006834590
7480	0.0007912130	0.0006838960
7490	0.0007913860	0.0006837160
7500	0.0007916770	0.0006843100
7510	0.0007922930	0.0006842100
7520	0.0007918750	0.0006847290
7530	0.0007922660	0.0006853160
7540	0.0007927700	0.0006850920
7550	0.0007933880	0.0006857550
7560	0.0007930840	0.0006854070
7570	0.0007932210	0.0006858850
7580	0.0007937170	0.0006861860
7590	0.0007932220	0.0006859030
7600	0.0007972710	0.0007036940
7610	0.0007928800	0.0006859250
7620	0.0007926790	0.0006858250
7630	0.0007935100	0.0006862140
7640	0.0007930590	0.0006859080
7650	0.0007929300	0.0006858820
7660	0.0007929710	0.0006857760
7670	0.0007928330	0.0006860660
7680	0.0007935000	0.0006865220
7690	0.0007930030	0.0006861110
7700	0.0007933720	0.0006866840
7710	0.0007941750	0.0006872530
7720	0.0007934620	0.0006869640
