payloadsize	encrypt	decrypt
4370	0.0061363100	0.0044776500
4380	0.0061374200	0.0044820200
4390	0.0061855900	0.0045091400
4400	0.0061526500	0.0044808000
4410	0.0061517200	0.0044851500
4420	0.0061604500	0.0044878900
4430	0.0061519700	0.0044869300
4440	0.0061476200	0.0044847700
4450	0.0061506600	0.0044832600
4460	0.0061502300	0.0044912500
4470	0.0061565900	0.0044831300
4480	0.0061493700	0.0044814200
4490	0.0061520300	0.0044829000
4500	0.0061367200	0.0044781100
4510	0.0061465500	0.0044799400
4520	0.0061411700	0.0044814700
4530	0.0061556800	0.0044898400
4540	0.0061464500	0.0044859600
4550	0.0061482000	0.0044846100
4560	0.0061360300	0.0044705600
4570	0.0061567800	0.0044887200
4580	0.0061544400	0.0044903600
4590	0.0061465400	0.0044804200
4600	0.0061509600	0.0044797900
4610	0.0061505900	0.0044914800
4620	0.0061422700	0.0044860100
4630	0.0061573100	0.0044866200
4640	0.0061438200	0.0044821900
4650	0.0061467000	0.0044910400
4660	0.0061559100	0.0044896600
4670	0.0061713600	0.0044959300
4680	0.0061593900	0.0044941500
4690	0.0061465200	0.0044873900
4700	0.0061555400	0.0044907800
4710	0.0061470600	0.0044855900
4720	0.0061507400	0.0044951300
4730	0.0061490100	0.0044896300
4740	0.0061524400	0.0044869600
4750	0.0061595600	0.0045002400
4760	0.0061555300	0.0044992800
4770	0.0061628000	0.0045021700
4780	0.0061497600	0.0044925300
4790	0.0061548300	0.0044886200
4800	0.0061552200	0.0044921300
4810	0.0061575800	0.0044891800
4820	0.0061451400	0.0044885000
4830	0.0061513900	0.0044950300
4840	0.0061559000	0.0044961900
4850	0.0061643800	0.0045094000
4860	0.0061921300	0.0045130300
4870	0.0061696700	0.0045029100
4880	0.0061685300	0.0044929500
4890	0.0061600700	0.0044937800
4900	0.0061629700	0.0044973800
4910	0.0061662200	0.0044962000
4920	0.0061599700	0.0044981500
4930	0.0061644600	0.0044987400
4940	0.0061725300	0.0045092600
4950	0.0061684100	0.0045107200
